<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;D;200804;000000;74766;74969;73443;73453;2880272
Si;D;200805;000000;73450;74386;73262;73880;3048031
Si;D;200806;000000;73865;73865;72965;73220;2804562
Si;D;200807;000000;73210;73953;72986;73612;2881930
Si;D;200808;000000;73619;74235;73619;74031;2701796
Si;D;200811;000000;74035;74305;73643;73756;2163960
Si;D;200812;000000;73767;73864;72973;73428;2709162
Si;D;200813;000000;73460;74119;73280;73980;2500596
Si;D;200814;000000;73980;74048;73170;73196;2748599
Si;D;200815;000000;73218;73736;73036;73084;2267270
Si;D;200818;000000;73104;74042;73004;73930;3036185
Si;D;200819;000000;73900;73954;73159;73396;2663082
Si;D;200820;000000;73373;73796;73249;73518;2470221
Si;D;200821;000000;73522;74413;73522;74000;3309831
Si;D;200822;000000;74005;75200;73837;74997;3332061
Si;D;200825;000000;74987;74987;74340;74828;2443669
Si;D;200826;000000;74805;75916;74500;75510;3143544
Si;D;200827;000000;75520;76183;75520;75546;2969593
Si;D;200828;000000;75550;75697;74882;75149;3850628
Si;D;200829;000000;75120;75120;74138;74151;2757759
Si;D;200901;000000;74159;74673;73735;74186;2950661
Si;D;200902;000000;74180;74180;73470;73677;2640036
Si;D;200903;000000;73705;75845;73705;75509;4680893
Si;D;200904;000000;75510;75963;74968;75353;3820800
Si;D;200905;000000;75401;75755;75008;75507;3246568
Si;D;200908;000000;75490;76337;75490;75835;3112117
Si;D;200909;000000;75854;76661;75775;76372;3826928
Si;D;200910;000000;76375;76640;75333;75365;3502809
Si;D;200911;000000;76091;76466;75441;75983;288214
Si;D;200912;000000;75910;75910;75480;75749;148213
Si;D;200915;000000;75595;76275;75320;75991;523653
Si;D;200916;000000;75971;76090;75566;75736;616023
Si;D;200917;000000;75710;75834;75370;75722;1188118
Si;D;200918;000000;75732;76188;75638;75890;2889032
Si;D;200919;000000;75890;76474;75610;76449;2937067
Si;D;200922;000000;76432;77265;76229;76804;3288376
Si;D;200923;000000;76830;77166;76388;76780;3082371
Si;D;200924;000000;76800;77795;76800;77748;3757985
Si;D;200925;000000;77759;78178;77560;77805;3844427
Si;D;200926;000000;77800;79169;77306;78862;5284131
Si;D;200929;000000;78850;79974;78722;79739;4336520
Si;D;200930;000000;79745;80636;79095;79738;7592544
Si;D;201001;000000;79757;80053;78188;78251;4966468
Si;D;201002;000000;78236;78256;77620;77928;3964715
Si;D;201003;000000;77964;79418;77964;78749;4734717
Si;D;201006;000000;78745;79462;78382;78645;3474613
Si;D;201007;000000;78681;79241;78156;79035;4024044
Si;D;201008;000000;79004;79064;78464;78577;3272904
Si;D;201009;000000;78562;78668;77826;77905;3469697
Si;D;201010;000000;77902;77902;77200;77270;3700929
Si;D;201013;000000;77290;77789;77290;77657;2643696
Si;D;201014;000000;77699;77957;77360;77538;3173155
Si;D;201015;000000;77559;78254;77559;78140;3578519
Si;D;201016;000000;78167;78961;78167;78566;3359748
Si;D;201017;000000;78576;78853;78209;78375;3659212
Si;D;201020;000000;78450;78580;77900;78098;3104247
Si;D;201021;000000;78117;78540;77731;77788;3415125
Si;D;201022;000000;77780;77780;77020;77150;3119534
Si;D;201023;000000;77190;77677;76791;77040;3518420
Si;D;201024;000000;77069;77313;76522;76522;3112539
Si;D;201027;000000;76550;77031;76400;76772;3463983
Si;D;201028;000000;76830;77725;76628;77703;3944177
