<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;100804;000000;514.28;514.65;501.6;503.28;773900
GMKN;D;100805;000000;503.28;513.46;498.88;511.02;515200
GMKN;D;100806;000000;511.6;514.5;504;511.25;384200
GMKN;D;100807;000000;512;515.06;500;504.99;433200
GMKN;D;100810;000000;507.88;524.37;506.09;521.77;599700
GMKN;D;100811;000000;521.5;522;510.98;519.74;697100
GMKN;D;100812;000000;519.9;519.9;502;504.01;662900
GMKN;D;100813;000000;504;512.49;495.68;498.1;690400
GMKN;D;100814;000000;500;508.32;497.33;501.7;666600
GMKN;D;100817;000000;502.86;510.95;498.77;508.4;633300
GMKN;D;100818;000000;508.97;524.09;507.85;523.1;650200
GMKN;D;100819;000000;520.1;527.99;517;525.01;561500
GMKN;D;100820;000000;525.96;529.16;513.61;514.78;913400
GMKN;D;100821;000000;515.47;518.92;511;518.92;738500
GMKN;D;100824;000000;519.44;522.51;512.73;517.7;617300
GMKN;D;100825;000000;514.51;516.75;503.72;507.71;691400
GMKN;D;100826;000000;507.78;510;499.35;507.3;690000
GMKN;D;100827;000000;507;514.92;504.56;511.57;673600
GMKN;D;100828;000000;511.01;523.3;506.08;522.89;775900
GMKN;D;100831;000000;523.92;530.01;521.93;525.1;680700
GMKN;D;100901;000000;524.76;527.39;512.7;519.5;837500
GMKN;D;100902;000000;520.99;532.5;518.45;532.5;744800
GMKN;D;100903;000000;531.91;535.15;523.59;526;735800
GMKN;D;100904;000000;525.83;532.32;523.71;528.8;670200
GMKN;D;100907;000000;530.89;536.66;519.92;522.37;574100
GMKN;D;100908;000000;520.72;520.81;513.41;515.79;580300
GMKN;D;100909;000000;515.37;532.79;515.18;524.1;695800
GMKN;D;100910;000000;525.2;529.99;521;521.28;493600
GMKN;D;100911;000000;521.3;524.01;514;518.47;372500
GMKN;D;100914;000000;524.5;527.77;515.55;517.65;745200
GMKN;D;100915;000000;519.35;519.35;502.8;504;587100
GMKN;D;100916;000000;505.25;505.69;491.2;495.9;705700
GMKN;D;100917;000000;494.51;499;489.75;497.19;515000
GMKN;D;100918;000000;499.88;501.03;490;491.5;345600
GMKN;D;100921;000000;491.6;494.5;486.35;490.51;442300
GMKN;D;100922;000000;489.56;496.69;489.56;491.5;414300
GMKN;D;100923;000000;492.78;495.59;485.23;494.44;436300
GMKN;D;100924;000000;495.42;501.49;491.6;495.7;579300
GMKN;D;100925;000000;495.7;503.25;492.52;502.8;294700
GMKN;D;100928;000000;503.22;505.45;498.71;500.3;329500
GMKN;D;100929;000000;500.7;501;493.97;496.65;478000
GMKN;D;100930;000000;497.01;511.4;497.01;509.1;452700
GMKN;D;101001;000000;508.88;516.42;506.75;513.05;558700
GMKN;D;101002;000000;512.91;524.8;512.9;523.11;486600
GMKN;D;101005;000000;523.99;530.4;521.44;527.7;635600
GMKN;D;101006;000000;527.93;532.52;517.45;531.7;441300
GMKN;D;101007;000000;531.7;536.22;525.95;531.96;509300
GMKN;D;101008;000000;531.83;535.81;529.74;530;659900
GMKN;D;101009;000000;531.56;532.71;522.71;530.75;501400
GMKN;D;101012;000000;530.74;538.59;530.53;534;508600
GMKN;D;101013;000000;533.77;539.14;528.5;538.45;568900
GMKN;D;101014;000000;538.46;543;535.6;538.08;465300
GMKN;D;101015;000000;539.46;543.9;538.01;539.4;751000
GMKN;D;101016;000000;538.12;552.37;538.11;548.24;578600
GMKN;D;101019;000000;548.39;551.63;545.5;551.32;333700
GMKN;D;101020;000000;550.53;551.68;534;534;638100
GMKN;D;101021;000000;537.88;547.45;535;547.45;500700
GMKN;D;101022;000000;545.61;554.56;543.86;551.41;544700
GMKN;D;101023;000000;551.4;553.78;539.1;545.1;899600
GMKN;D;101026;000000;546.5;564.51;546.41;561.26;1034600
GMKN;D;101027;000000;560.86;563.43;553.9;556.66;733400
GMKN;D;101028;000000;554.65;557.23;547.71;550.95;688700
GMKN;D;101029;000000;551.29;560.62;551.04;555.5;662600
GMKN;D;101030;000000;554.27;557.99;549.5;555.13;778400
GMKN;D;101102;000000;556.6;564.75;556.6;559;473700
GMKN;D;101103;000000;559;565.8;558.27;565;587400
GMKN;D;101104;000000;565.07;566.65;557.65;564.7;382200
GMKN;D;101109;000000;564.88;586.99;564.88;586.4;852700
GMKN;D;101110;000000;586.07;607.31;585.16;600.5;1161200
GMKN;D;101111;000000;600.45;607.54;596.17;604.01;743000
GMKN;D;101112;000000;604.84;611.69;590;592.99;1222000
GMKN;D;101113;000000;591.77;592.11;579.79;586.03;1789100
GMKN;D;101114;000000;585.64;587.79;581.24;586.69;787000
GMKN;D;101116;000000;585.52;594.02;578.81;590;1529100
GMKN;D;101117;000000;587.08;587.23;565.54;566;1242400
GMKN;D;101118;000000;568.49;578.63;562.4;574.98;1280000
GMKN;D;101119;000000;575.19;584.84;575.19;584.56;875500
GMKN;D;101120;000000;584.84;597;578.91;595.6;1192000
GMKN;D;101123;000000;596.58;600.73;588.26;593;841000
GMKN;D;101124;000000;592;592.01;581.52;585.49;830000
GMKN;D;101125;000000;588.87;604.52;581.86;603.91;986100
GMKN;D;101126;000000;603.98;617.44;603.31;613.18;1852000
GMKN;D;101127;000000;613.25;617.03;601.23;601.65;1139100
GMKN;D;101130;000000;604.43;610.91;594.95;601.13;732000
GMKN;D;101201;000000;598.97;608.21;592.5;605.66;890800
GMKN;D;101202;000000;606.94;617.99;605.38;615.55;710500
GMKN;D;101203;000000;615.06;647.99;614.9;645.05;1374700
