<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Eu;D;100804;000000;39557;39650;39389;39429;3608
Eu;D;100805;000000;39410;39540;38861;38904;4460
Eu;D;100806;000000;38904;39500;38904;39500;2985
Eu;D;100807;000000;39450;39745;39395;39650;3849
Eu;D;100810;000000;39650;39799;39650;39719;940
Eu;D;100811;000000;39666;39750;39480;39700;10031
Eu;D;100812;000000;39625;39625;39246;39355;2147
Eu;D;100813;000000;39400;39440;39072;39300;13787
Eu;D;100814;000000;39282;39307;39100;39155;770
Eu;D;100817;000000;39171;39278;39122;39150;3459
Eu;D;100818;000000;39212;39260;39160;39206;2162
Eu;D;100819;000000;39121;39318;39100;39250;4070
Eu;D;100820;000000;39093;39270;39038;39261;2746
Eu;D;100821;000000;39190;39190;38900;39048;5782
Eu;D;100824;000000;39000;39000;38920;38950;889
Eu;D;100825;000000;38925;39200;38901;39005;3014
Eu;D;100826;000000;39137;39259;39080;39140;2315
Eu;D;100827;000000;39250;39267;39040;39248;3407
Eu;D;100828;000000;39108;39198;39054;39143;1278
Eu;D;100831;000000;39049;39120;38985;38985;656
Eu;D;100901;000000;39020;39200;39020;39100;1041
Eu;D;100902;000000;39195;39484;39195;39300;7562
Eu;D;100903;000000;39319;39450;39280;39393;2248
Eu;D;100904;000000;39370;39550;39320;39470;1739
Eu;D;100907;000000;39470;39510;39420;39490;1658
Eu;D;100908;000000;39358;39380;39200;39200;2501
Eu;D;100909;000000;39291;39318;39197;39240;1598
Eu;D;100910;000000;39200;39334;39170;39200;1037
Eu;D;100911;000000;39490;39582;39450;39545;4104
Eu;D;100914;000000;39575;39780;39575;39735;11855
Eu;D;100915;000000;39730;40130;39730;40130;2829
Eu;D;100916;000000;40142;40620;40142;40550;6544
Eu;D;100917;000000;40536;41300;40530;41066;5307
Eu;D;100918;000000;41084;41147;40672;40773;4545
Eu;D;100921;000000;40735;40900;40725;40772;2746
Eu;D;100922;000000;40840;41379;40840;41298;4134
Eu;D;100923;000000;41299;41880;41290;41779;8635
Eu;D;100924;000000;41814;41915;41500;41565;11207
Eu;D;100925;000000;41609;41790;41451;41690;13793
Eu;D;100928;000000;41621;41621;41320;41422;3669
Eu;D;100929;000000;41371;41535;41200;41529;3251
Eu;D;100930;000000;41469;41706;41469;41630;3570
Eu;D;101001;000000;41625;42031;41531;41730;7501
Eu;D;101002;000000;41806;42210;41775;42130;8687
Eu;D;101005;000000;42129;42230;41860;41900;2918
Eu;D;101006;000000;41940;42083;41620;41718;10008
Eu;D;101007;000000;41650;41675;41475;41601;13092
Eu;D;101008;000000;41515;41810;41474;41669;3409
Eu;D;101009;000000;41775;41950;41668;41770;24246
Eu;D;101012;000000;41770;41850;41609;41668;3781
Eu;D;101013;000000;41650;42039;41648;41972;3582
Eu;D;101014;000000;41985;42336;41985;42140;7319
Eu;D;101015;000000;42258;42501;42252;42501;6396
Eu;D;101016;000000;42500;42840;42481;42490;7560
Eu;D;101019;000000;42430;42670;42224;42670;7767
Eu;D;101020;000000;42575;42590;42315;42400;6544
Eu;D;101021;000000;42407;43055;42407;42972;3756
Eu;D;101022;000000;42951;43275;42776;42820;11126
Eu;D;101023;000000;42785;42815;42450;42511;10007
Eu;D;101026;000000;42565;42695;42480;42550;2471
Eu;D;101027;000000;42560;42635;42290;42299;3618
Eu;D;101028;000000;42301;42581;42280;42424;8283
Eu;D;101029;000000;42491;42900;42491;42815;4561
Eu;D;101030;000000;42760;43080;42700;42950;7788
Eu;D;101102;000000;43040;43266;42831;42930;7032
Eu;D;101103;000000;42935;43350;42935;43256;4998
Eu;D;101104;000000;43272;43731;43200;43534;2394
Eu;D;101109;000000;43460;43460;42871;43010;6610
Eu;D;101110;000000;42878;42940;42500;42562;5116
Eu;D;101111;000000;42580;42580;42131;42349;9943
Eu;D;101112;000000;42301;42301;41890;41950;4145
Eu;D;101113;000000;41998;42420;41900;42301;6063
Eu;D;101114;000000;42324;42390;42287;42340;777
Eu;D;101116;000000;42306;42325;42135;42150;1995
Eu;D;101117;000000;42200;42455;42177;42325;3100
Eu;D;101118;000000;42325;42548;42318;42475;6809
Eu;D;101119;000000;42454;42587;42288;42428;3618
Eu;D;101120;000000;42450;42634;42385;42634;4081
Eu;D;101123;000000;42635;42778;42410;42450;4380
Eu;D;101124;000000;42424;42545;42002;42002;4433
Eu;D;101125;000000;42047;42047;41620;41634;5866
Eu;D;101126;000000;41703;41849;41669;41784;2237
Eu;D;101127;000000;41720;41725;41545;41665;3669
Eu;D;101130;000000;41645;41685;41160;41270;5130
Eu;D;101201;000000;41222;41225;40850;41000;5421
Eu;D;101202;000000;41041;41645;41000;41268;6755
Eu;D;101203;000000;41225;41570;41175;41250;8282
Eu;D;101204;000000;41370;41855;41349;41688;6466
Eu;D;101207;000000;41688;41870;41461;41617;13441
Eu;D;101208;000000;41679;41820;41295;41295;7817
Eu;D;101209;000000;41294;41350;41135;41228;3787
Eu;D;101210;000000;41240;41510;40825;40925;7235
Eu;D;101211;000000;41345;41345;41150;41255;1627
Eu;D;101214;000000;41151;41674;41120;41610;5646
Eu;D;101215;000000;41600;41760;41401;41410;13607
Eu;D;101216;000000;41400;41400;41055;41063;14789
Eu;D;101217;000000;41062;41110;40900;41020;5635
Eu;D;101218;000000;41050;41950;40805;40909;14548
Eu;D;101221;000000;40875;40893;40709;40739;23757
Eu;D;101222;000000;40815;40845;40562;40572;6230
Eu;D;101223;000000;40654;40696;40406;40442;5151
Eu;D;101224;000000;40443;40508;40280;40440;2883
Eu;D;101225;000000;40430;40476;40190;40265;3305
Eu;D;101228;000000;40279;40365;40185;40320;5021
Eu;D;101229;000000;40350;40426;40032;40074;8634
Eu;D;101230;000000;40129;40500;40091;40500;3196
Eu;D;101231;000000;40545;41168;40460;40845;20394
Eu;D;110112;000000;40770;40770;39675;39814;6991
Eu;D;110113;000000;39813;39813;39479;39742;3718
Eu;D;110114;000000;39692;40300;39570;40250;6199
Eu;D;110115;000000;40268;40448;40200;40294;8610
Eu;D;110118;000000;40210;40210;39920;39970;2677
Eu;D;110119;000000;40000;40345;39970;40072;27901
Eu;D;110120;000000;40148;40500;40148;40391;12847
Eu;D;110121;000000;40380;40630;40305;40600;10632
Eu;D;110122;000000;40575;40905;40575;40875;6284
Eu;D;110125;000000;40821;40933;40604;40893;3494
Eu;D;110126;000000;40865;40895;40590;40869;14137
Eu;D;110127;000000;40846;40950;40705;40775;6772
Eu;D;110128;000000;40810;40865;40650;40726;2739
Eu;D;110129;000000;40750;40914;40630;40684;3643
Eu;D;110201;000000;40726;41018;40652;40870;19172
Eu;D;110202;000000;40880;40929;40707;40900;8869
Eu;D;110203;000000;40918;40918;40655;40727;12038
Eu;D;110204;000000;40675;40675;40151;40185;13652
Eu;D;110205;000000;40200;40261;39908;40060;4103
Eu;D;110208;000000;40040;40096;39740;39915;6871
Eu;D;110209;000000;39945;40089;39870;39983;4841
Eu;D;110210;000000;40000;40285;39980;40255;3738
Eu;D;110211;000000;40201;40240;39927;40004;4135
Eu;D;110212;000000;39976;39976;39687;39801;9036
Eu;D;110215;000000;39780;39796;39412;39585;8795
Eu;D;110216;000000;39574;39735;39511;39667;6294
Eu;D;110217;000000;39700;39790;39531;39709;5724
Eu;D;110218;000000;39670;39906;39670;39869;6332
Eu;D;110219;000000;39825;40026;39670;39969;3595
Eu;D;110222;000000;39900;40000;39876;39920;2693
Eu;D;110223;000000;39800;40162;39695;40074;8771
