<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BZ;D;200804;000000;43.53;44.46;42.89;43.88;138736
BZ;D;200805;000000;43.84;44.82;43.24;44.36;151739
BZ;D;200806;000000;44.28;46.23;44.24;45.33;179312
BZ;D;200807;000000;45.32;45.71;44.85;45.12;117226
BZ;D;200808;000000;45.15;45.3;44.27;44.69;117208
BZ;D;200811;000000;44.66;45.26;44.37;44.96;88172
BZ;D;200812;000000;45.05;45.79;44.39;44.54;116327
BZ;D;200813;000000;44.62;45.63;44.49;45.32;96279
BZ;D;200814;000000;45.32;45.58;44.82;45.12;83956
BZ;D;200815;000000;45.29;45.29;44.47;44.95;97667
BZ;D;200818;000000;44.86;45.41;44.53;45.31;100279
BZ;D;200819;000000;45.27;45.55;44.76;45.01;113706
BZ;D;200820;000000;45.17;45.48;44.81;45.21;99159
BZ;D;200821;000000;45.14;45.18;44.02;44.85;143731
BZ;D;200822;000000;45.03;45.08;43.59;44.26;127931
BZ;D;200825;000000;44.5;45.18;44.29;45.05;97729
BZ;D;200826;000000;45.12;46.5;45.08;46.5;89677
BZ;D;200827;000000;46.4;46.54;46.02;46.29;104036
BZ;D;200828;000000;46.19;46.33;45.05;45.65;143313
BZ;D;200829;000000;45.63;45.94;45.33;45.94;136134
BZ;D;200901;000000;45.8;46.53;45.21;45.57;122915
BZ;D;200902;000000;45.6;46.22;45.47;45.77;124080
BZ;D;200903;000000;45.83;46.05;44.2;44.39;190224
BZ;D;200904;000000;44.65;44.65;43.15;44;203419
BZ;D;200905;000000;43.76;44.54;42.3;42.35;200020
BZ;D;200908;000000;42.2;42.43;41.51;42.05;91143
BZ;D;200909;000000;42.08;42.23;39.31;39.78;263657
BZ;D;200910;000000;39.65;41.2;39.37;40.62;179634
BZ;D;200911;000000;40.58;40.96;39.71;39.72;117381
BZ;D;200912;000000;39.96;40.34;39.38;39.92;114897
BZ;D;200915;000000;39.78;40.09;39.3;39.69;106134
BZ;D;200916;000000;39.7;40.82;39.39;40.68;121005
BZ;D;200917;000000;40.72;42.44;40.59;42.33;154487
BZ;D;200918;000000;42.32;43.5;41.5;43.26;155038
BZ;D;200919;000000;43.22;43.8;42.53;43.04;130059
BZ;D;200922;000000;43.01;43.3;40.96;41.69;150416
BZ;D;200923;000000;41.79;42.2;41.21;41.8;115304
BZ;D;200924;000000;41.67;42.62;41.21;41.51;104870
BZ;D;200925;000000;41.36;42.02;41.27;41.77;79540
BZ;D;200926;000000;41.85;42.38;41.52;42.26;58462
BZ;D;200929;000000;42.21;43.03;41.95;42.94;118755
BZ;D;200930;000000;42.91;42.97;40.84;41.37;188331
BZ;D;201001;000000;41.36;42.49;40.82;42.12;194086
BZ;D;201002;000000;42.17;42.56;39.92;40.71;226026
BZ;D;201003;000000;40.65;40.77;38.79;38.9;236216
BZ;D;201006;000000;39.19;41.78;39.14;41.53;183757
BZ;D;201007;000000;41.41;42.84;41.22;41.86;181702
BZ;D;201008;000000;41.85;42.42;41.36;42.15;139345
BZ;D;201009;000000;42.15;43.47;41.86;43.45;155857
BZ;D;201010;000000;43.36;43.57;42.61;42.82;141128
BZ;D;201013;000000;42.6;42.71;41.36;41.81;138065
BZ;D;201014;000000;41.81;42.68;41.66;42.47;133058
BZ;D;201015;000000;42.43;43.45;42.13;43.44;157610
BZ;D;201016;000000;43.45;43.48;41.56;43;194356
BZ;D;201017;000000;43.1;43.21;42.27;42.85;123819
BZ;D;201020;000000;42.69;43.23;42.36;42.46;121845
BZ;D;201021;000000;42.45;43.3;42.19;42.8;147982
BZ;D;201022;000000;42.91;43.04;41.45;41.71;165903
BZ;D;201023;000000;41.59;42.79;41.46;42.44;132522
BZ;D;201024;000000;42.4;42.8;41.5;41.59;105848
BZ;D;201027;000000;41.83;41.92;40.59;40.81;123066
BZ;D;201028;000000;40.83;41.88;40.79;41.1;108148
BZ;D;201029;000000;41.04;41.11;39.23;39.54;220462
BZ;D;201030;000000;39.71;39.97;37.26;38.11;275653
BZ;D;201031;000000;38.22;38.71;37.4;37.86;209890
BZ;D;201103;000000;37.37;39.36;35.74;39.24;216280
BZ;D;201104;000000;39.26;40.45;38.65;40.16;178891
BZ;D;201105;000000;40.13;41.33;39.42;41.2;173059
BZ;D;201106;000000;40.96;41.53;40.33;40.8;135610
BZ;D;201107;000000;40.63;40.69;39.34;39.6;166268
BZ;D;201110;000000;39.65;43.48;39.46;42.02;186097
BZ;D;201111;000000;41.75;44.11;41.71;44.05;170229
BZ;D;201112;000000;43.77;45.3;43.6;43.77;200125
BZ;D;201113;000000;43.73;44.5;43.26;43.27;165339
BZ;D;201114;000000;43.2;43.34;42.63;42.63;131178
BZ;D;201117;000000;42.71;44.67;42.71;43.89;156076
BZ;D;201118;000000;43.89;44.25;43.08;43.78;130931
BZ;D;201119;000000;43.75;44.89;43.48;44.13;147721
BZ;D;201120;000000;43.96;44.57;43.79;44.17;116508
BZ;D;201121;000000;44.15;45.24;44.05;45.24;120020
BZ;D;201124;000000;45.08;46.56;44.89;46.45;131419
BZ;D;201125;000000;46.47;48.6;45.89;48.25;143460
BZ;D;201126;000000;48.25;49.06;47.72;48.81;124572
BZ;D;201127;000000;48.8;49;47.49;47.85;92858
BZ;D;201128;000000;47.85;48.46;47.34;48.3;115137
BZ;D;201201;000000;47.98;48.29;47.07;47.61;201378
BZ;D;201202;000000;47.62;48.3;46.84;47.03;174020
BZ;D;201203;000000;47.03;48.76;46.82;48.12;197762
BZ;D;201204;000000;48.12;49.56;47.67;49.45;179651
BZ;D;201205;000000;49.49;49.92;48.84;49.03;163759
BZ;D;201208;000000;49.1;49.43;48.39;48.42;124464
BZ;D;201209;000000;48.43;49;48.09;48.65;130273
BZ;D;201210;000000;48.66;49.55;48.4;49.01;173825
BZ;D;201211;000000;49;51.06;48.86;50.18;184923
BZ;D;201212;000000;50.18;50.74;49.74;50.07;132056
BZ;D;201215;000000;49.96;50.8;49.13;49.89;152574
BZ;D;201216;000000;49.87;50.89;49.78;50.62;117814
BZ;D;201217;000000;50.62;51.65;50.34;51.5;128755
BZ;D;201218;000000;51.51;51.9;51.08;51.38;113808
BZ;D;201219;000000;51.38;52.48;51.13;52.37;127382
BZ;D;201222;000000;52.34;52.34;49.21;50.7;164256
BZ;D;201223;000000;50.69;50.86;49.35;49.38;102679
BZ;D;201224;000000;49.39;51.78;49.2;51.68;110632
BZ;D;201225;000000;51.67;51.77;50.62;51.3;58197
BZ;D;201229;000000;51.32;52.05;50.59;51.12;93374
BZ;D;201230;000000;51.12;51.69;50.96;51.41;100734
BZ;D;201231;000000;51.4;51.92;50.94;51.56;154269
BZ;D;210101;000000;51.55;51.84;50.9;51.72;88731
BZ;D;210105;000000;51.5;53.33;50.56;50.67;267461
BZ;D;210106;000000;50.95;53.9;50.7;53.57;296062
BZ;D;210107;000000;53.52;54.73;53.02;54.15;231283
BZ;D;210108;000000;54.13;54.9;53.94;54.52;144086
BZ;D;210109;000000;54.56;56.36;54.34;56.36;192380
BZ;D;210112;000000;56.24;56.39;54.99;55.62;158698
BZ;D;210113;000000;55.66;56.79;55.51;56.78;165314
BZ;D;210114;000000;56.83;57.42;55.77;55.91;168698
BZ;D;210115;000000;55.93;56.57;55.24;56.46;145705
BZ;D;210116;000000;56.41;56.5;54.64;55;182592
BZ;D;210119;000000;54.75;55.21;54.49;54.79;79135
BZ;D;210120;000000;55.01;56.08;54.89;55.93;144672
BZ;D;210121;000000;56.07;56.64;55.66;55.69;144678
BZ;D;210122;000000;55.82;56.24;55.49;56.17;109025
BZ;D;210123;000000;56;56.03;54.48;55.21;164957
BZ;D;210126;000000;55.26;56.02;55.07;55.91;110928
BZ;D;210127;000000;55.93;56.34;55.39;55.87;85113
BZ;D;210128;000000;55.84;56.19;54.94;55.3;164586
BZ;D;210129;000000;55.18;56.22;54.91;55.03;187567
BZ;D;210130;000000;55.04;56.02;54.9;55.1;197528
BZ;D;210202;000000;54.91;56.53;54.6;56.21;189734
BZ;D;210203;000000;56.35;58.05;56.33;57.82;196174
BZ;D;210204;000000;57.85;58.94;57.5;58.67;174328
BZ;D;210205;000000;58.59;59.12;58.04;59.11;152979
BZ;D;210206;000000;59.17;59.78;59.08;59.62;117936
BZ;D;210209;000000;59.43;60.72;59.43;60.66;157289
BZ;D;210210;000000;60.8;61.34;60.05;61.29;167657
BZ;D;210211;000000;61.21;61.69;60.87;61.1;147101
BZ;D;210212;000000;61.01;61.5;60.72;60.86;106883
BZ;D;210213;000000;60.82;62.83;60.35;62.71;166393
BZ;D;210214;000000;62.43;62.43;62.43;62.43;1
