<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTS;D;150804;000000;84760;84760;81720;81870;879622
RTS;D;150805;000000;81900;84220;81900;83390;827911
RTS;D;150806;000000;83440;85120;82370;82960;860499
RTS;D;150807;000000;82920;83710;81310;82700;803570
RTS;D;150808;000000;82710;83650;81970;82850;694114
RTS;D;150811;000000;82780;85480;81330;85200;847651
RTS;D;150812;000000;85200;85910;82180;82710;854037
RTS;D;150813;000000;82700;83500;80940;83130;817935
RTS;D;150814;000000;83250;84190;81530;82500;771509
RTS;D;150815;000000;82510;83800;82100;82430;647630
RTS;D;150818;000000;82420;82420;81270;81590;671983
RTS;D;150819;000000;81580;81580;80450;80900;576012
RTS;D;150820;000000;80780;81690;78520;78700;808580
RTS;D;150821;000000;78700;79400;77640;77960;844761
RTS;D;150822;000000;77860;78260;75320;75460;784287
RTS;D;150825;000000;75390;75390;70310;72170;1536588
RTS;D;150826;000000;72140;77010;72140;74200;1227152
RTS;D;150827;000000;74310;76720;73680;76500;1041043
RTS;D;150828;000000;76660;81570;76660;81150;1068752
RTS;D;150829;000000;81430;83320;78970;82690;1207031
RTS;D;150901;000000;82580;85470;79760;84330;1203932
RTS;D;150902;000000;84310;84310;78740;78780;1386948
RTS;D;150903;000000;78990;81100;77760;79900;1291824
RTS;D;150904;000000;79990;81570;78910;79840;981969
RTS;D;150905;000000;79620;80000;77410;77610;816093
RTS;D;150908;000000;77640;78890;77270;77860;505488
RTS;D;150909;000000;77940;80090;77940;79490;724383
RTS;D;150910;000000;79490;80920;78250;78440;705432
RTS;D;150911;000000;77650;79750;77520;79440;71656
RTS;D;150912;000000;79310;79900;78290;79030;141677
RTS;D;150915;000000;78900;80570;78900;80080;230558
RTS;D;150916;000000;79960;81100;79680;81100;498814
RTS;D;150917;000000;81090;83710;81010;83020;716605
RTS;D;150918;000000;83100;84740;81520;83250;800104
RTS;D;150919;000000;83250;83250;80230;80690;870838
RTS;D;150922;000000;85470;85470;79810;80800;452939
RTS;D;150923;000000;80640;80640;77570;78840;689102
RTS;D;150924;000000;78800;79050;76760;77130;832159
RTS;D;150925;000000;77060;77600;75540;77350;870901
RTS;D;150926;000000;77400;79170;77400;78570;749856
RTS;D;150929;000000;78490;78970;76700;76950;693663
RTS;D;150930;000000;76900;78480;76090;77770;698722
RTS;D;151001;000000;77800;79740;77800;78760;803767
RTS;D;151002;000000;78800;79820;77350;77750;851227
RTS;D;151003;000000;77760;78150;75610;77650;922615
RTS;D;151006;000000;77700;80770;77530;80500;845257
RTS;D;151007;000000;80500;83150;79730;83020;888697
RTS;D;151008;000000;83050;85270;83050;84330;946032
RTS;D;151009;000000;84270;88140;83550;87820;1086179
RTS;D;151010;000000;87970;89340;86930;87600;1102980
RTS;D;151013;000000;87600;89850;85320;85900;1000112
RTS;D;151014;000000;85930;86930;85030;85530;1001903
RTS;D;151015;000000;85530;87400;84770;86590;954784
RTS;D;151016;000000;86630;89970;86630;89790;871822
RTS;D;151017;000000;89790;90200;87750;88830;899567
RTS;D;151020;000000;88760;88840;86150;87040;792438
RTS;D;151021;000000;87010;88110;86070;87300;796724
RTS;D;151022;000000;87270;87530;84880;85240;881277
RTS;D;151023;000000;85260;86910;85260;86660;802028
RTS;D;151024;000000;86690;88530;86690;87590;859391
RTS;D;151027;000000;87620;87820;84930;85290;825000
RTS;D;151028;000000;85290;85290;82530;83350;824451
RTS;D;151029;000000;83330;86290;82300;85300;1120325
RTS;D;151030;000000;85170;85170;83260;83420;986309
RTS;D;151031;000000;83430;85190;83030;84290;765290
RTS;D;151103;000000;84280;86140;83750;86090;680370
RTS;D;151104;000000;86000;90170;85430;89550;895351
RTS;D;151106;000000;89500;89500;87510;88120;801831
