<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MIX;D;150804;000000;168350;169575;167075;167350;30359
MIX;D;150805;000000;167475;169350;167350;168950;23943
MIX;D;150806;000000;168950;171350;167950;169250;26121
MIX;D;150807;000000;169350;171225;168375;169800;22668
MIX;D;150808;000000;169775;171000;169100;170400;16480
MIX;D;150811;000000;170600;172275;168550;171600;26726
MIX;D;150812;000000;171600;173400;169750;170475;22668
MIX;D;150813;000000;170300;171500;169300;171100;19428
MIX;D;150814;000000;171100;172500;169850;170975;20831
MIX;D;150815;000000;170900;173400;170700;171825;19346
MIX;D;150818;000000;171850;172300;170075;171150;17123
MIX;D;150819;000000;171100;171250;169250;170275;13727
MIX;D;150820;000000;170275;171050;167050;167875;19904
MIX;D;150821;000000;167725;170550;167250;169050;28065
MIX;D;150822;000000;169050;169675;166300;166700;19274
MIX;D;150825;000000;166300;166300;160350;163500;43324
MIX;D;150826;000000;163550;167550;163225;163825;34136
MIX;D;150827;000000;164450;168325;163450;167800;27367
MIX;D;150828;000000;168200;171475;167075;170725;25341
MIX;D;150829;000000;170600;172675;169075;172200;26347
MIX;D;150901;000000;171800;173975;170550;172750;34907
MIX;D;150902;000000;172675;173325;167800;167800;37600
MIX;D;150903;000000;168200;172175;167950;170250;40709
MIX;D;150904;000000;170225;171900;169025;170425;23522
MIX;D;150905;000000;170425;171300;168550;168925;21870
MIX;D;150908;000000;168975;171150;168900;170725;16429
MIX;D;150909;000000;170625;173325;170625;171525;26876
MIX;D;150910;000000;171600;173425;170525;170950;21787
MIX;D;150911;000000;174000;175775;173975;175150;623
MIX;D;150912;000000;175300;175300;174000;174525;423
MIX;D;150915;000000;174775;176825;174775;175800;1572
MIX;D;150916;000000;175575;175950;173650;174975;7755
MIX;D;150917;000000;174825;176875;174200;176450;9563
MIX;D;150918;000000;176425;178400;175375;177100;16024
MIX;D;150919;000000;177250;177300;173075;174525;17344
MIX;D;150922;000000;174800;183675;171950;173225;10085
MIX;D;150923;000000;173075;173075;168175;169400;16978
MIX;D;150924;000000;169200;169525;166025;166750;18834
MIX;D;150925;000000;166725;167000;163900;166450;18714
MIX;D;150926;000000;166450;168225;166200;167450;13405
MIX;D;150929;000000;167475;167750;164700;165375;12217
MIX;D;150930;000000;165200;166900;164000;165850;12467
MIX;D;151001;000000;166025;168950;166025;167200;16623
MIX;D;151002;000000;167475;168150;164750;165700;16540
MIX;D;151003;000000;165575;166325;163050;165875;23168
MIX;D;151006;000000;165850;169250;165250;169100;15368
MIX;D;151007;000000;168750;170750;168325;170475;10979
MIX;D;151008;000000;170400;171150;168800;171075;12806
MIX;D;151009;000000;170700;174625;168900;174175;15254
MIX;D;151010;000000;174300;176875;172875;175100;16755
MIX;D;151013;000000;175425;177400;172300;172925;13891
MIX;D;151014;000000;172825;175375;172700;174300;14615
MIX;D;151015;000000;174150;176500;173500;175300;12301
MIX;D;151016;000000;175950;178250;175525;177750;13987
MIX;D;151017;000000;178000;178000;174475;175400;14245
MIX;D;151020;000000;175250;175375;173125;174875;8797
MIX;D;151021;000000;174550;175175;172975;174700;10449
MIX;D;151022;000000;174850;175200;172550;172900;10534
MIX;D;151023;000000;173125;174575;172675;174400;8049
MIX;D;151024;000000;174400;176125;173525;175550;11033
MIX;D;151027;000000;175450;175800;171725;173100;9570
MIX;D;151028;000000;173150;174200;171275;174100;11569
MIX;D;151029;000000;174075;175850;172850;175025;13314
MIX;D;151030;000000;174750;174950;172500;172675;13427
MIX;D;151031;000000;172850;174225;171800;173050;11309
MIX;D;151103;000000;172800;175950;171850;175775;12607
MIX;D;151104;000000;175925;180100;175350;179625;18155
MIX;D;151106;000000;179250;180475;178125;179125;12864
MIX;D;151107;000000;179175;179750;176425;177600;12698
MIX;D;151110;000000;177400;178150;175225;175600;12213
MIX;D;151111;000000;175700;177150;174875;175675;13602
MIX;D;151112;000000;175650;177300;174500;174925;14669
MIX;D;151113;000000;175025;176900;174650;175125;12390
MIX;D;151114;000000;175275;175775;173400;174450;12794
MIX;D;151117;000000;174250;177475;173750;177125;15017
MIX;D;151118;000000;177200;181750;176600;180525;20095
MIX;D;151119;000000;180525;184375;179875;184075;21048
MIX;D;151120;000000;184250;185950;181800;182400;21172
MIX;D;151121;000000;182475;186000;181100;184700;17263
MIX;D;151124;000000;184225;188750;182500;187800;21039
MIX;D;151125;000000;187800;188725;181000;182400;25000
MIX;D;151126;000000;182500;185275;181850;184900;16983
MIX;D;151127;000000;184900;186325;182725;183700;11449
MIX;D;151128;000000;183250;183575;179375;180000;18179
MIX;D;151201;000000;179775;181250;177900;178400;17135
MIX;D;151202;000000;178400;179050;176775;178000;10233
MIX;D;151203;000000;177950;179900;176225;176650;15567
MIX;D;151204;000000;176850;180550;176650;179725;16109
MIX;D;151205;000000;179850;180375;174175;175800;19428
MIX;D;151208;000000;175775;176650;172900;173800;12742
MIX;D;151209;000000;173850;174150;171325;171950;17407
MIX;D;151210;000000;172225;176075;172000;173000;17110
MIX;D;151211;000000;175150;177575;175050;175050;108
MIX;D;151212;000000;175500;175675;173050;173200;220
MIX;D;151215;000000;173050;174725;172625;173975;2393
MIX;D;151216;000000;174025;178525;174025;178100;15434
MIX;D;151217;000000;178150;179975;177675;179625;15730
MIX;D;151218;000000;179525;182425;178875;180625;20116
MIX;D;151219;000000;180500;180900;175200;175850;19422
MIX;D;151222;000000;175800;177200;173700;174775;11089
MIX;D;151223;000000;174800;176250;174550;175800;8233
MIX;D;151224;000000;176000;179400;176000;179275;11426
MIX;D;151225;000000;179175;179575;177400;178150;8165
MIX;D;151226;000000;178250;178250;176325;177275;3336
MIX;D;151229;000000;177175;177250;175625;176725;5949
MIX;D;151230;000000;176750;180950;176225;180625;7642
MIX;D;151231;000000;180500;180700;178200;179125;6512
MIX;D;160105;000000;178875;179500;174500;175550;9468
MIX;D;160106;000000;175750;179075;175750;178875;6558
MIX;D;160107;000000;178675;178900;176600;177825;7579
MIX;D;160112;000000;177550;177550;168500;169250;15505
MIX;D;160113;000000;169225;173475;168250;171850;18757
MIX;D;160114;000000;171950;178975;168900;169525;15667
MIX;D;160115;000000;169625;172250;168250;171725;15126
MIX;D;160116;000000;171500;171500;161025;162250;21863
MIX;D;160119;000000;162250;165300;160225;165000;14660
MIX;D;160120;000000;165400;170100;165100;166125;21994
MIX;D;160121;000000;165000;166950;161800;166550;23272
MIX;D;160122;000000;166025;172325;165475;170975;20797
MIX;D;160123;000000;171850;175625;170250;173725;26626
MIX;D;160126;000000;174375;174700;171975;172700;18925
MIX;D;160127;000000;172500;174400;171625;173350;20556
MIX;D;160128;000000;173350;178900;172775;176750;31320
MIX;D;160129;000000;176775;179650;176100;179475;25742
MIX;D;160130;000000;179925;181100;177975;180650;27206
MIX;D;160202;000000;180500;180775;177925;178625;20985
MIX;D;160203;000000;178500;180425;175700;175850;25791
MIX;D;160204;000000;175625;181150;175625;180300;29340
MIX;D;160205;000000;180700;181200;178700;179675;28799
MIX;D;160206;000000;179750;181525;177925;178325;27206
MIX;D;160209;000000;178900;180125;174875;176600;20571
MIX;D;160210;000000;176000;176650;170875;172400;26858
MIX;D;160211;000000;172650;175650;171875;173600;28228
MIX;D;160212;000000;173400;174200;169800;173675;31088
MIX;D;160213;000000;173375;174800;172625;174250;20758
MIX;D;160216;000000;174750;175800;173450;174300;19525
MIX;D;160217;000000;174450;177600;174450;177000;20677
MIX;D;160218;000000;176825;179125;175775;178500;23159
MIX;D;160219;000000;178500;181775;178400;179200;30413
MIX;D;160220;000000;179500;180100;178425;179675;16052
MIX;D;160221;000000;179800;180475;178500;178700;7493
MIX;D;160223;000000;178975;183025;178975;182475;15284
MIX;D;160225;000000;182025;182600;178800;181050;22451
MIX;D;160226;000000;181025;183075;178050;182450;29017
MIX;D;160227;000000;182525;183675;180800;181500;22200
MIX;D;160301;000000;181500;184600;180025;183850;22403
MIX;D;160302;000000;183700;186875;183525;185425;14478
MIX;D;160303;000000;185600;185975;182850;184000;18105
MIX;D;160304;000000;183975;186700;183775;185550;21614
MIX;D;160305;000000;185550;188775;185300;188500;20554
MIX;D;160308;000000;188700;191075;188025;190450;17000
MIX;D;160310;000000;190250;190525;187250;188925;21847
MIX;D;160311;000000;190400;191750;187900;189200;1002
MIX;D;160312;000000;189775;190750;188500;189900;1103
MIX;D;160315;000000;189700;192950;187125;190875;4872
MIX;D;160316;000000;190575;190575;187525;188350;12317
MIX;D;160317;000000;188350;191450;187750;190500;19158
MIX;D;160318;000000;190700;193000;190175;192275;30100
MIX;D;160319;000000;192200;195225;191225;192950;25333
MIX;D;160322;000000;192850;193475;191100;193250;25085
MIX;D;160323;000000;193200;194150;191300;192400;22152
MIX;D;160324;000000;192300;193300;189250;189800;24018
MIX;D;160325;000000;189800;190000;187800;189450;20003
MIX;D;160326;000000;189700;190225;188000;189175;8135
MIX;D;160329;000000;189200;190275;186475;187475;17015
MIX;D;160330;000000;187075;188000;184750;187650;19804
MIX;D;160331;000000;187750;189950;187175;188725;16748
MIX;D;160401;000000;188575;190100;187075;188000;20820
MIX;D;160402;000000;188050;188550;185050;188475;20495
MIX;D;160405;000000;188275;189825;187325;187650;25906
MIX;D;160406;000000;187400;188275;186700;187950;19148
MIX;D;160407;000000;188250;189625;186950;188775;18364
MIX;D;160408;000000;189150;189625;186700;186925;22306
MIX;D;160409;000000;187175;189775;187175;189150;16564
MIX;D;160412;000000;189100;192900;188850;192175;18237
MIX;D;160413;000000;192150;194175;190725;193175;20451
MIX;D;160414;000000;193100;196600;192750;195775;21647
MIX;D;160415;000000;195550;196875;191850;192625;23082
MIX;D;160416;000000;192700;193525;191150;191675;14270
MIX;D;160419;000000;191325;191400;188175;190350;21937
MIX;D;160420;000000;190900;195000;190550;195000;24356
MIX;D;160421;000000;194650;199400;193725;198400;25920
MIX;D;160422;000000;198950;199400;194600;196925;24057
MIX;D;160423;000000;196825;198250;194950;197550;21722
MIX;D;160426;000000;197550;197750;195925;196775;21212
MIX;D;160427;000000;196800;197100;194400;196575;20505
MIX;D;160428;000000;196350;197175;193350;195100;18271
MIX;D;160429;000000;195100;198200;193500;196625;17931
MIX;D;160430;000000;197250;198600;194975;196550;16741
MIX;D;160505;000000;196375;196675;190500;191375;24467
MIX;D;160506;000000;191450;192525;190175;191075;19192
MIX;D;160507;000000;190825;191100;189250;190400;17575
MIX;D;160511;000000;190400;191475;187600;189875;19209
MIX;D;160512;000000;189750;192525;188825;191225;20002
MIX;D;160513;000000;191325;192850;189600;190850;19588
MIX;D;160514;000000;190675;191450;188150;190575;21761
MIX;D;160517;000000;190600;194375;190600;192075;20966
MIX;D;160518;000000;191900;192175;187825;191300;27050
MIX;D;160519;000000;191300;192475;190125;191200;24061
MIX;D;160520;000000;190925;191425;189525;189800;21990
MIX;D;160521;000000;189975;190425;188125;189075;15599
MIX;D;160524;000000;188750;188975;186050;187525;17884
MIX;D;160525;000000;187525;188925;186900;188825;23214
MIX;D;160526;000000;189000;191025;188700;190425;20553
