<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZR;D;150804;000000;14400;14518;14189;14255;218904
GAZR;D;150805;000000;14287;14478;14210;14359;191101
GAZR;D;150806;000000;14359;14700;14252;14482;221852
GAZR;D;150807;000000;14481;14547;14190;14320;228716
GAZR;D;150808;000000;14316;14394;14179;14278;187437
GAZR;D;150811;000000;14284;14370;13948;14305;237885
GAZR;D;150812;000000;14303;14499;14252;14327;205655
GAZR;D;150813;000000;14313;14522;14160;14501;170899
GAZR;D;150814;000000;14500;14601;14410;14503;172204
GAZR;D;150815;000000;14502;14688;14423;14588;182233
GAZR;D;150818;000000;14590;14624;14400;14509;162402
GAZR;D;150819;000000;14522;14522;14280;14397;120499
GAZR;D;150820;000000;14404;14486;14088;14187;200603
GAZR;D;150821;000000;14186;14420;14091;14253;221673
GAZR;D;150822;000000;14241;14408;14097;14140;183241
GAZR;D;150825;000000;14125;14125;13510;13641;326008
GAZR;D;150826;000000;13650;14205;13645;13977;249606
GAZR;D;150827;000000;14000;14305;13953;14291;198432
GAZR;D;150828;000000;14305;14769;14259;14702;224857
GAZR;D;150829;000000;14681;14823;14374;14770;283611
GAZR;D;150901;000000;14725;14950;14595;14760;239798
GAZR;D;150902;000000;14784;14850;14333;14365;266165
GAZR;D;150903;000000;14371;14620;14261;14454;289848
GAZR;D;150904;000000;14454;14657;14315;14499;197966
GAZR;D;150905;000000;14510;14565;14202;14260;168449
GAZR;D;150908;000000;14268;14388;14163;14306;135793
GAZR;D;150909;000000;14303;14474;14273;14387;165036
GAZR;D;150910;000000;14397;14573;14327;14348;140491
GAZR;D;150911;000000;14779;14909;14665;14759;5397
GAZR;D;150912;000000;14759;14778;14520;14647;16506
GAZR;D;150915;000000;14647;14804;14600;14756;43070
GAZR;D;150916;000000;14756;14830;14542;14700;124078
GAZR;D;150917;000000;14695;14737;14561;14715;149636
GAZR;D;150918;000000;14701;14783;14618;14714;121962
GAZR;D;150919;000000;14718;14723;14264;14367;241013
GAZR;D;150922;000000;14367;14460;14186;14332;93063
GAZR;D;150923;000000;14325;14330;13915;14040;138317
GAZR;D;150924;000000;14040;14042;13682;13800;156160
GAZR;D;150925;000000;13800;13815;13483;13647;193270
GAZR;D;150926;000000;13631;13809;13583;13700;190192
GAZR;D;150929;000000;13710;13757;13359;13443;178523
GAZR;D;150930;000000;13443;13737;13364;13632;157702
GAZR;D;151001;000000;13645;13911;13610;13740;182556
GAZR;D;151002;000000;13742;13889;13458;13555;176000
GAZR;D;151003;000000;13555;13625;13403;13566;146275
GAZR;D;151006;000000;13565;14078;13525;14046;160468
GAZR;D;151007;000000;14045;14117;13810;14075;149231
GAZR;D;151008;000000;14089;14320;13967;14299;173626
GAZR;D;151009;000000;14280;14436;14110;14402;173576
