<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;200804;000000;19485;20170;19445;20150;22451
VTBR;D;200805;000000;20150;20455;19960;20300;19098
VTBR;D;200806;000000;20310;20460;19140;19345;49782
VTBR;D;200807;000000;19370;19450;18775;18980;26788
VTBR;D;200808;000000;18980;19025;18325;18400;22879
VTBR;D;200811;000000;18415;18615;18290;18435;13580
VTBR;D;200812;000000;18430;18880;18385;18525;20710
VTBR;D;200813;000000;18550;18960;18535;18940;13878
VTBR;D;200814;000000;18910;19070;18805;18905;12081
VTBR;D;200815;000000;18915;18985;18705;18930;9808
VTBR;D;200818;000000;18945;19150;18750;18855;16493
VTBR;D;200819;000000;18845;18940;18655;18725;8210
VTBR;D;200820;000000;18730;18890;18690;18800;8175
VTBR;D;200821;000000;18775;18775;18425;18550;9603
VTBR;D;200822;000000;18575;18615;18100;18225;14033
VTBR;D;200825;000000;18240;18385;18065;18240;11867
VTBR;D;200826;000000;18250;18295;17835;17995;11523
VTBR;D;200827;000000;17995;18095;17740;18090;11330
VTBR;D;200828;000000;18075;18235;18030;18095;11224
VTBR;D;200829;000000;18100;18155;17850;18040;8055
VTBR;D;200901;000000;18035;18145;17650;17720;10993
VTBR;D;200902;000000;17745;18090;17710;18090;12749
VTBR;D;200903;000000;18090;18125;17620;17800;14693
VTBR;D;200904;000000;17770;17845;17495;17555;10747
VTBR;D;200905;000000;17555;17750;17495;17710;10155
VTBR;D;200908;000000;17675;17750;17575;17635;7798
VTBR;D;200909;000000;17635;17670;17255;17455;13547
VTBR;D;200910;000000;17415;17560;17380;17530;6893
VTBR;D;200911;000000;17540;17675;17330;17595;1069
VTBR;D;200912;000000;17580;17705;17520;17675;1514
VTBR;D;200915;000000;17730;17950;17640;17880;2945
VTBR;D;200916;000000;17900;18095;17815;18050;4376
VTBR;D;200917;000000;18070;18130;17780;17840;8651
VTBR;D;200918;000000;17835;17835;17585;17790;17479
VTBR;D;200919;000000;17815;17815;17520;17620;11228
VTBR;D;200922;000000;17580;17595;17175;17360;13747
VTBR;D;200923;000000;17365;17465;17035;17200;17589
VTBR;D;200924;000000;17185;17335;17015;17025;15733
VTBR;D;200925;000000;17020;17165;16880;16995;13838
VTBR;D;200926;000000;17000;17110;16780;16950;17182
VTBR;D;200929;000000;16955;17150;16925;17085;13046
VTBR;D;200930;000000;17080;17455;16650;17125;27250
