<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NG;D;200804;000000;1.815;2.152;1.815;2.094;39330
NG;D;200805;000000;2.1;2.239;2.056;2.17;17769
NG;D;200806;000000;2.177;2.26;2.161;2.209;9655
NG;D;200807;000000;2.217;2.296;2.136;2.153;6543
NG;D;200808;000000;2.142;2.257;2.142;2.255;8389
NG;D;200811;000000;2.381;2.403;2.259;2.302;1672
NG;D;200812;000000;2.302;2.357;2.286;2.293;1956
NG;D;200813;000000;2.29;2.34;2.203;2.285;1074
NG;D;200814;000000;2.293;2.349;2.288;2.337;927
NG;D;200815;000000;2.331;2.512;2.315;2.476;4966
NG;D;200818;000000;2.495;2.598;2.446;2.478;3859
NG;D;200819;000000;2.46;2.598;2.457;2.551;6721
NG;D;200820;000000;2.56;2.593;2.516;2.57;2831
NG;D;200821;000000;2.558;2.568;2.489;2.498;1844
NG;D;200822;000000;2.503;2.586;2.429;2.556;7361
NG;D;200825;000000;2.553;2.654;2.532;2.608;4689
NG;D;200826;000000;2.611;2.646;2.568;2.579;6497
NG;D;200827;000000;2.598;2.649;2.522;2.537;22333
NG;D;200828;000000;2.538;2.719;2.538;2.708;18665
NG;D;200829;000000;2.709;2.739;2.625;2.657;14845
NG;D;200901;000000;2.641;2.656;2.501;2.633;15220
NG;D;200902;000000;2.635;2.675;2.51;2.523;24599
NG;D;200903;000000;2.537;2.582;2.421;2.496;31670
NG;D;200904;000000;2.502;2.57;2.461;2.485;11959
NG;D;200905;000000;2.478;2.606;2.439;2.58;27128
NG;D;200908;000000;2.58;2.58;2.496;2.553;9467
NG;D;200909;000000;2.554;2.575;2.358;2.366;20551
NG;D;200910;000000;2.358;2.481;2.332;2.402;31900
NG;D;200911;000000;2.87;2.87;2.78;2.79;1133
NG;D;200912;000000;2.785;2.799;2.735;2.74;698
NG;D;200915;000000;2.8;2.829;2.719;2.733;911
NG;D;200916;000000;2.731;2.762;2.701;2.728;1326
NG;D;200917;000000;2.756;2.776;2.643;2.663;2548
NG;D;200918;000000;2.663;2.664;2.502;2.56;6003
NG;D;200919;000000;2.56;2.655;2.521;2.63;4696
NG;D;200922;000000;2.627;2.769;2.51;2.739;6598
NG;D;200923;000000;2.691;2.695;2.565;2.586;7653
NG;D;200924;000000;2.573;2.836;2.524;2.821;19547
