<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MIX;D;200804;000000;293000;295275;291875;293700;12757
MIX;D;200805;000000;294000;295950;293000;295625;12805
MIX;D;200806;000000;295975;300425;295675;299700;17897
MIX;D;200807;000000;299925;301350;298925;300950;13993
MIX;D;200808;000000;300425;300425;297650;298500;11778
MIX;D;200811;000000;298600;300725;296950;297850;13558
MIX;D;200812;000000;298200;302225;298000;299100;19208
MIX;D;200813;000000;299400;306775;299200;306450;23931
MIX;D;200814;000000;306400;308700;305200;307575;24372
MIX;D;200815;000000;307750;308250;304875;306750;12866
MIX;D;200818;000000;306975;309475;304650;306775;18117
MIX;D;200819;000000;306300;308075;305125;305450;14199
MIX;D;200820;000000;305325;307825;304275;304900;16527
MIX;D;200821;000000;304650;304650;299750;301575;27306
MIX;D;200822;000000;301900;303025;297425;300475;26545
MIX;D;200825;000000;300850;304125;300850;303975;18273
MIX;D;200826;000000;304000;305725;302225;304325;15819
MIX;D;200827;000000;304325;305975;302675;305675;19946
MIX;D;200828;000000;305650;306175;300050;300775;25698
MIX;D;200829;000000;301475;301725;297525;298325;17737
MIX;D;200901;000000;298500;301625;296175;296825;25021
MIX;D;200902;000000;297125;299475;296725;298625;18087
MIX;D;200903;000000;298925;300575;294600;295725;32467
MIX;D;200904;000000;295700;297025;291750;291975;23337
MIX;D;200905;000000;291950;294700;291250;294200;27611
MIX;D;200908;000000;293975;294850;292625;293975;14249
MIX;D;200909;000000;294300;295175;287575;289050;29233
MIX;D;200910;000000;288875;290200;287425;288725;19340
MIX;D;200911;000000;286575;287800;283650;286150;360
MIX;D;200912;000000;286525;289500;285775;289300;421
MIX;D;200915;000000;290600;292900;289300;291400;1142
MIX;D;200916;000000;291800;297075;291500;296700;4256
MIX;D;200917;000000;296975;297950;294750;296025;9750
MIX;D;200918;000000;295375;296100;292675;295550;22055
MIX;D;200919;000000;295725;296275;291250;292425;16657
MIX;D;200922;000000;292050;292375;283500;286525;25760
MIX;D;200923;000000;286275;290000;284775;290000;21019
MIX;D;200924;000000;290000;293975;287925;287925;32382
MIX;D;200925;000000;287900;289950;285300;288000;29653
MIX;D;200926;000000;288100;289300;284400;288725;27426
MIX;D;200929;000000;289075;291975;288875;291725;17977
MIX;D;200930;000000;291925;292700;286475;289775;32030
MIX;D;201001;000000;289600;290150;287175;288075;22000
MIX;D;201002;000000;288100;290000;285675;285725;25190
MIX;D;201003;000000;285625;287250;282500;286125;31667
MIX;D;201006;000000;286500;289375;285400;288950;20895
MIX;D;201007;000000;289275;291500;288475;288875;22460
MIX;D;201008;000000;289050;289650;284150;285525;29498
MIX;D;201009;000000;285825;286825;284425;285125;13768
MIX;D;201010;000000;285225;285350;282075;284150;21478
MIX;D;201013;000000;284350;287475;283775;285925;20562
MIX;D;201014;000000;285950;287000;283075;283450;17237
MIX;D;201015;000000;283625;286900;283250;286275;18151
MIX;D;201016;000000;286000;286050;281175;282525;21295
MIX;D;201017;000000;282125;282950;279275;280450;24089
MIX;D;201020;000000;280475;282075;278425;279425;17485
MIX;D;201021;000000;279450;282800;278350;281550;19963
MIX;D;201022;000000;281550;282450;278950;279800;20434
MIX;D;201023;000000;279650;282300;279175;281400;23280
MIX;D;201024;000000;281200;283325;280575;283275;19054
MIX;D;201027;000000;283125;283150;277675;278550;24151
MIX;D;201028;000000;278975;279500;276325;276925;23556
MIX;D;201029;000000;276700;276700;268500;270275;50980
MIX;D;201030;000000;270500;273750;267000;272025;46128
MIX;D;201031;000000;271775;271775;266475;269000;31696
MIX;D;201103;000000;268750;275750;266000;275550;35630
MIX;D;201104;000000;275600;279875;275100;279775;31514
MIX;D;201106;000000;279800;289000;279800;286150;29391
MIX;D;201107;000000;285600;290075;283700;290050;30922
MIX;D;201110;000000;290200;299375;290200;297300;44756
MIX;D;201111;000000;297225;301750;293300;300300;36933
MIX;D;201112;000000;300375;303750;300375;301250;25174
MIX;D;201113;000000;301100;303325;299000;300575;26422
MIX;D;201114;000000;300600;305475;299825;305150;21138
MIX;D;201117;000000;305300;308950;304925;308900;24896
MIX;D;201118;000000;308675;309275;303025;305275;30311
MIX;D;201119;000000;305000;309075;303800;306600;24544
