<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;D;100804;000000;8722;8724;8570;8590;390479
SBRF;D;100805;000000;8590;8697;8490;8627;509305
SBRF;D;100806;000000;8625;8645;8413;8469;479789
SBRF;D;100807;000000;8470;8530;8217;8300;442166
SBRF;D;100810;000000;8304;8442;8304;8404;347998
SBRF;D;100811;000000;8391;8408;8180;8374;484991
SBRF;D;100812;000000;8364;8364;8055;8080;483650
SBRF;D;100813;000000;8074;8190;8007;8127;572677
SBRF;D;100814;000000;8130;8250;8011;8087;523330
SBRF;D;100817;000000;8088;8161;7920;8034;506548
SBRF;D;100818;000000;8035;8198;8002;8186;460662
SBRF;D;100819;000000;8179;8179;7999;8100;437496
SBRF;D;100820;000000;8104;8197;7925;7949;475176
SBRF;D;100821;000000;7944;8008;7820;7889;523620
SBRF;D;100824;000000;7889;7912;7742;7780;546650
SBRF;D;100825;000000;7774;7774;7533;7577;608336
SBRF;D;100826;000000;7570;7662;7375;7512;677949
SBRF;D;100827;000000;7512;7688;7468;7621;707417
SBRF;D;100828;000000;7615;7785;7535;7785;774930
SBRF;D;100831;000000;7785;7841;7686;7686;407247
SBRF;D;100901;000000;7685;7876;7574;7802;596133
SBRF;D;100902;000000;7808;8095;7767;8093;612669
SBRF;D;100903;000000;8084;8132;8003;8091;584169
SBRF;D;100904;000000;8091;8244;8038;8203;467580
SBRF;D;100907;000000;8212;8245;8160;8195;208289
SBRF;D;100908;000000;8185;8220;7962;7977;442761
SBRF;D;100909;000000;7976;8296;7933;8208;583632
SBRF;D;100910;000000;8205;8455;8200;8336;631094
SBRF;D;100911;000000;8381;8471;8325;8394;39700
SBRF;D;100914;000000;8394;8565;8394;8501;196283
SBRF;D;100915;000000;8501;8633;8390;8461;473219
SBRF;D;100916;000000;8467;8540;8360;8516;474313
SBRF;D;100917;000000;8515;8515;8305;8350;578073
SBRF;D;100918;000000;8354;8436;8236;8280;412263
SBRF;D;100921;000000;8282;8432;8207;8413;531111
SBRF;D;100922;000000;8410;8474;8353;8373;461038
SBRF;D;100923;000000;8375;8427;8288;8321;626756
SBRF;D;100924;000000;8323;8478;8309;8406;610919
SBRF;D;100925;000000;8410;8546;8402;8525;547296
SBRF;D;100928;000000;8528;8586;8377;8415;488918
SBRF;D;100929;000000;8413;8436;8296;8394;521038
SBRF;D;100930;000000;8390;8496;8362;8450;463770
SBRF;D;101001;000000;8450;8648;8376;8618;645329
SBRF;D;101002;000000;8619;9024;8606;9010;1137574
SBRF;D;101005;000000;9002;9117;8935;8973;876937
SBRF;D;101006;000000;8983;9318;8983;9296;642945
SBRF;D;101007;000000;9299;9340;9114;9179;706002
SBRF;D;101008;000000;9171;9215;9012;9043;670984
SBRF;D;101009;000000;9049;9148;8965;9140;648773
SBRF;D;101012;000000;9135;9340;9121;9198;334859
SBRF;D;101013;000000;9189;9213;9051;9206;562902
SBRF;D;101014;000000;9201;9298;9120;9180;684398
SBRF;D;101015;000000;9181;9291;9067;9110;646688
SBRF;D;101016;000000;9111;9330;9096;9277;694679
SBRF;D;101019;000000;9283;9602;9283;9599;664654
SBRF;D;101020;000000;9599;9759;9445;9470;1154709
SBRF;D;101021;000000;9470;9870;9470;9835;927224
SBRF;D;101022;000000;9840;10375;9770;10285;1815570
SBRF;D;101023;000000;10294;10457;10158;10271;1144872
SBRF;D;101026;000000;10274;10466;10225;10255;652705
SBRF;D;101027;000000;10250;10290;10015;10251;827196
SBRF;D;101028;000000;10241;10241;9965;10053;813922
SBRF;D;101029;000000;10056;10142;9921;10017;720648
