<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;D;200804;000000;22305;22954;22233;22787;356240
SBRF;D;200805;000000;22802;23007;22673;22811;276378
SBRF;D;200806;000000;22840;23039;22542;22730;304858
SBRF;D;200807;000000;22741;22853;22514;22708;213985
SBRF;D;200808;000000;22697;22873;22551;22830;230658
SBRF;D;200811;000000;22830;22977;22539;22698;261282
SBRF;D;200812;000000;22698;23575;22690;23360;379015
SBRF;D;200813;000000;23372;24335;23372;24315;389264
SBRF;D;200814;000000;24314;24477;23910;24224;389223
SBRF;D;200815;000000;24225;24291;23914;24071;236429
SBRF;D;200818;000000;24091;24313;23536;23841;313910
SBRF;D;200819;000000;23812;24070;23653;23691;217532
SBRF;D;200820;000000;23683;24146;23615;24030;252290
SBRF;D;200821;000000;23996;23996;23099;23313;481344
SBRF;D;200822;000000;23339;23715;22815;23180;571730
SBRF;D;200825;000000;23207;23426;23082;23224;208152
SBRF;D;200826;000000;23245;23375;22743;22868;298030
SBRF;D;200827;000000;22888;22999;22530;22840;371747
SBRF;D;200828;000000;22840;23056;22622;22669;319943
SBRF;D;200829;000000;22692;22873;22570;22676;216901
SBRF;D;200901;000000;22696;23034;22530;22650;259396
SBRF;D;200902;000000;22669;22850;22645;22814;192680
SBRF;D;200903;000000;22817;22947;22122;22300;354224
SBRF;D;200904;000000;22287;22465;21828;21885;307334
SBRF;D;200905;000000;21860;22279;21712;22266;298773
SBRF;D;200908;000000;22246;22452;22081;22187;259459
SBRF;D;200909;000000;22189;22283;21647;21813;326312
SBRF;D;200910;000000;21775;21915;21707;21843;212751
SBRF;D;200911;000000;20609;20960;20353;20789;15144
SBRF;D;200912;000000;20835;21038;20703;20841;15515
SBRF;D;200915;000000;20900;21509;20413;21475;29930
SBRF;D;200916;000000;21500;21958;21482;21885;53838
SBRF;D;200917;000000;21915;21989;21763;21855;85886
SBRF;D;200918;000000;21845;21899;21575;21863;207723
SBRF;D;200919;000000;21879;21994;21560;21687;226002
SBRF;D;200922;000000;21676;21689;21012;21339;306074
SBRF;D;200923;000000;21321;21696;21204;21635;358188
SBRF;D;200924;000000;21634;21885;21405;21517;322868
SBRF;D;200925;000000;21458;21761;21222;21464;383397
SBRF;D;200926;000000;21458;21553;21201;21402;256409
SBRF;D;200929;000000;21420;21549;21316;21443;223967
SBRF;D;200930;000000;21462;21462;20777;21083;365047
SBRF;D;201001;000000;21064;21658;20887;21506;437867
SBRF;D;201002;000000;21510;21560;21211;21241;309125
SBRF;D;201003;000000;21213;21305;20832;21087;400503
SBRF;D;201006;000000;21098;21267;20966;21071;212343
SBRF;D;201007;000000;21071;21495;21027;21287;366419
SBRF;D;201008;000000;21307;21443;21080;21241;281658
SBRF;D;201009;000000;21259;21327;20904;20981;238497
SBRF;D;201010;000000;20995;21084;20605;20696;330856
SBRF;D;201013;000000;20696;21035;20635;20765;258275
SBRF;D;201014;000000;20762;20937;20644;20677;231379
SBRF;D;201015;000000;20689;20975;20642;20963;253657
SBRF;D;201016;000000;20942;20943;20350;20553;356523
SBRF;D;201017;000000;20556;20572;20210;20304;288903
SBRF;D;201020;000000;20300;20563;20300;20424;279781
SBRF;D;201021;000000;20439;21135;20395;21087;492193
SBRF;D;201022;000000;21099;21465;21037;21183;456413
SBRF;D;201023;000000;21170;21289;20915;21140;272761
SBRF;D;201024;000000;21140;21625;21045;21606;366366
SBRF;D;201027;000000;21595;21595;21150;21243;337915
SBRF;D;201028;000000;21246;21349;20805;20876;350313
SBRF;D;201029;000000;20875;20875;20356;20573;413776
SBRF;D;201030;000000;20609;20865;20476;20691;365322
SBRF;D;201031;000000;20677;20677;20173;20230;345672
SBRF;D;201103;000000;20212;20598;19720;20573;382502
SBRF;D;201104;000000;20580;21205;20475;21020;390297
SBRF;D;201106;000000;21046;21952;21046;21763;476205
SBRF;D;201107;000000;21762;21925;21461;21850;359799
SBRF;D;201110;000000;21857;23199;21760;22892;731984
SBRF;D;201111;000000;22874;23847;22712;23690;649201
SBRF;D;201112;000000;23696;24648;23696;24486;578623
SBRF;D;201113;000000;24465;24631;24103;24259;543302
SBRF;D;201114;000000;24247;24465;23923;24348;432130
SBRF;D;201117;000000;24348;24945;24348;24870;444250
