<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Eu;D;200804;000000;88060;88222;86470;86515;250317
Eu;D;200805;000000;86500;87750;86303;87228;260047
Eu;D;200806;000000;87225;87297;86726;86956;186398
Eu;D;200807;000000;87010;87760;86741;87516;182956
Eu;D;200808;000000;87547;87808;87062;87333;163148
Eu;D;200811;000000;87339;87541;86589;86640;114251
Eu;D;200812;000000;86668;86705;86019;86273;136456
Eu;D;200813;000000;86259;87436;86099;87280;191231
Eu;D;200814;000000;87280;87610;86521;86570;176293
Eu;D;200815;000000;86557;87160;86433;86598;127202
Eu;D;200818;000000;86650;87854;86531;87811;185806
Eu;D;200819;000000;87750;87940;87093;87635;186852
Eu;D;200820;000000;87580;88130;86976;87085;182288
Eu;D;200821;000000;87058;88173;87058;87813;221130
Eu;D;200822;000000;87810;88563;87631;88525;198439
Eu;D;200825;000000;88400;88400;87960;88226;123623
Eu;D;200826;000000;88192;89681;88048;89418;217501
Eu;D;200827;000000;89403;90039;89210;89449;199081
Eu;D;200828;000000;89549;89590;88609;88849;343735
Eu;D;200829;000000;88780;89102;88176;88290;178925
Eu;D;200901;000000;88300;89205;87768;88607;225070
Eu;D;200902;000000;88560;88560;87777;87839;191263
Eu;D;200903;000000;87839;89807;87754;89500;278447
Eu;D;200904;000000;89410;89707;88763;89360;177420
Eu;D;200905;000000;89356;89557;88854;89373;181005
Eu;D;200908;000000;89400;90234;89339;89545;207047
Eu;D;200909;000000;89667;90361;89483;89965;244731
Eu;D;200910;000000;89954;90083;88940;89010;246797
Eu;D;200911;000000;90162;90577;89739;89980;11506
Eu;D;200912;000000;89981;90090;89620;89754;4979
Eu;D;200915;000000;89705;90713;89198;90289;25395
Eu;D;200916;000000;90250;90588;89253;89870;31114
Eu;D;200917;000000;89860;90100;89409;89620;57109
Eu;D;200918;000000;89634;90194;89358;90059;197848
Eu;D;200919;000000;90052;90760;89812;90643;188312
Eu;D;200922;000000;90718;91390;90516;90578;219845
Eu;D;200923;000000;90637;90718;89956;90116;188746
Eu;D;200924;000000;90100;90957;90038;90816;229384
Eu;D;200925;000000;90898;91186;90557;90961;198361
Eu;D;200926;000000;90912;92173;90458;91900;300645
Eu;D;200929;000000;91882;93352;91674;93160;220371
Eu;D;200930;000000;93160;94259;92875;93757;422574
Eu;D;201001;000000;93800;94097;91786;91876;276797
Eu;D;201002;000000;91852;91999;91379;91701;169507
Eu;D;201003;000000;91792;93084;91792;92394;206268
Eu;D;201006;000000;92391;93576;92051;92811;196170
Eu;D;201007;000000;92879;93502;92405;92809;205035
Eu;D;201008;000000;92771;93156;92434;92625;167032
Eu;D;201009;000000;92581;92642;91610;91747;177108
Eu;D;201010;000000;91770;91939;91230;91537;206597
Eu;D;201013;000000;91554;91905;91439;91846;153502
Eu;D;201014;000000;91840;91976;91061;91226;217536
Eu;D;201015;000000;91235;92050;91201;91890;204604
Eu;D;201016;000000;91960;92550;91950;92130;193364
Eu;D;201017;000000;92150;92487;91762;91986;203720
Eu;D;201020;000000;91999;92358;91692;92069;153516
Eu;D;201021;000000;92040;92830;92000;92114;264299
Eu;D;201022;000000;92060;92229;91564;91590;244295
Eu;D;201023;000000;91718;92091;90895;91105;225133
Eu;D;201024;000000;91201;91344;90697;90857;170934
Eu;D;201027;000000;90899;91157;90391;90820;163538
Eu;D;201028;000000;90872;91887;90729;91860;291661
Eu;D;201029;000000;91756;93659;91663;93645;281205
Eu;D;201030;000000;93593;93973;92425;92652;261148
Eu;D;201031;000000;92674;93414;92474;93127;233527
Eu;D;201103;000000;93188;94662;93188;94205;199855
Eu;D;201104;000000;94152;94245;93160;93327;163216
Eu;D;201106;000000;93325;93325;91177;91500;333867
Eu;D;201107;000000;91500;92935;91500;92411;218786
Eu;D;201110;000000;92385;92385;90160;90653;293269
Eu;D;201111;000000;90653;91243;90312;90829;195934
Eu;D;201112;000000;90758;91261;90005;91209;207605
Eu;D;201113;000000;91247;91854;90900;91642;229665
Eu;D;201114;000000;91691;92255;91451;91970;125150
Eu;D;201117;000000;91890;91890;90540;90597;237224
Eu;D;201118;000000;90654;91340;90563;90729;181744
Eu;D;201119;000000;90773;90999;90052;90497;225468
Eu;D;201120;000000;90506;90904;90019;90369;167734
Eu;D;201121;000000;90465;90780;90338;90631;152756
Eu;D;201124;000000;90621;90757;89965;90444;219397
Eu;D;201125;000000;90435;90723;89758;89919;206362
Eu;D;201126;000000;89959;90687;89947;90286;202602
Eu;D;201127;000000;90289;90485;90116;90441;141658
Eu;D;201128;000000;90447;91222;90331;90920;235843
Eu;D;201201;000000;91010;91792;91010;91358;175924
Eu;D;201202;000000;91299;91697;90861;91641;215128
Eu;D;201203;000000;91686;91848;90935;91036;202754
Eu;D;201204;000000;91100;91544;90360;90523;201112
Eu;D;201205;000000;90535;90621;89769;89867;154007
Eu;D;201208;000000;89898;90294;89095;89338;174367
Eu;D;201209;000000;89347;89536;88662;89099;191134
Eu;D;201210;000000;89063;90500;88819;89339;196727
Eu;D;201211;000000;90335;90433;89560;89802;4012
Eu;D;201212;000000;89837;90071;89462;89500;3334
Eu;D;201215;000000;89531;90998;89500;90728;27003
Eu;D;201216;000000;90550;90704;90057;90290;28888
Eu;D;201217;000000;90320;90945;90190;90482;114676
Eu;D;201218;000000;90510;90639;89847;90425;239793
Eu;D;201219;000000;90430;91596;90430;90899;201700
Eu;D;201222;000000;90909;92931;90909;92595;219401
Eu;D;201223;000000;92612;93472;92609;93346;168088
Eu;D;201224;000000;93343;93436;92155;92496;226925
Eu;D;201225;000000;92536;92738;90960;90991;202534
Eu;D;201226;000000;90991;91683;90740;91580;126544
Eu;D;201229;000000;91615;91615;90778;91022;165245
Eu;D;201230;000000;91060;91737;90793;91650;169537
Eu;D;201231;000000;91630;92878;91100;92250;249514
Eu;D;210105;000000;92205;92205;90498;91723;187472
Eu;D;210106;000000;91708;93143;91592;91789;198748
Eu;D;210107;000000;91790;92111;91328;91889;150253
Eu;D;210109;000000;91803;92261;91203;91205;167422
Eu;D;210112;000000;91317;91878;91234;91559;151062
Eu;D;210113;000000;91477;91477;90181;90470;161031
Eu;D;210114;000000;90456;90810;90168;90330;138745
