<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;150804;000000;36265;36640;36145;36530;9054
VTBR;D;150805;000000;36465;36645;35730;36020;12458
VTBR;D;150806;000000;36010;36165;35700;35715;35066
VTBR;D;150807;000000;35825;36070;35500;36045;12884
VTBR;D;150808;000000;35985;36280;35585;35755;9512
VTBR;D;150811;000000;35720;36015;35445;35740;6529
VTBR;D;150812;000000;35665;35760;35395;35570;5845
VTBR;D;150813;000000;35585;36125;35300;35695;12525
VTBR;D;150814;000000;35615;35710;35470;35550;4409
VTBR;D;150815;000000;35575;35750;35435;35445;9297
VTBR;D;150818;000000;35460;35550;35175;35355;7762
VTBR;D;150819;000000;35360;35435;35140;35300;5720
VTBR;D;150820;000000;35275;35365;34740;34890;6676
VTBR;D;150821;000000;34865;35175;34595;34595;8808
VTBR;D;150822;000000;34600;34915;34515;34560;6722
VTBR;D;150825;000000;34540;34695;32070;33390;26288
VTBR;D;150826;000000;33455;35440;33455;34810;19313
VTBR;D;150827;000000;34840;35735;34840;35305;9281
VTBR;D;150828;000000;35385;35700;34980;35250;13336
VTBR;D;150829;000000;35335;35395;34980;35080;6904
VTBR;D;150901;000000;35075;35250;34505;34735;6869
VTBR;D;150902;000000;34705;34765;33250;33535;18243
VTBR;D;150903;000000;33645;34020;33200;33900;8267
VTBR;D;150904;000000;33805;34100;33395;33785;7503
VTBR;D;150905;000000;33855;34475;33590;33690;9720
VTBR;D;150908;000000;33690;34450;33670;34430;6307
VTBR;D;150909;000000;34360;35540;34345;35045;8872
VTBR;D;150910;000000;35045;35345;34165;34210;7753
VTBR;D;150911;000000;35095;35525;35080;35470;274
VTBR;D;150912;000000;35460;35900;35340;35630;1015
VTBR;D;150915;000000;35640;35915;35300;35655;4300
VTBR;D;150916;000000;35655;35750;35195;35750;12799
VTBR;D;150917;000000;35690;35855;35020;35200;9628
VTBR;D;150918;000000;35135;37220;35000;36000;10794
VTBR;D;150919;000000;35990;36070;34615;35015;15143
VTBR;D;150922;000000;35090;35300;34855;35105;3498
VTBR;D;150923;000000;35095;35095;34020;34225;6149
VTBR;D;150924;000000;34210;34570;33885;34140;5479
VTBR;D;150925;000000;34145;34940;33595;34515;8239
VTBR;D;150926;000000;34625;35350;34100;34295;7696
VTBR;D;150929;000000;34345;34475;33850;34105;4913
VTBR;D;150930;000000;34050;34300;33855;33970;4705
VTBR;D;151001;000000;34000;34875;34000;34710;6649
VTBR;D;151002;000000;34730;34850;34295;34465;5338
VTBR;D;151003;000000;34460;34695;33905;34495;5975
VTBR;D;151006;000000;34420;34975;34195;34760;8933
VTBR;D;151007;000000;34680;35275;34605;35275;8047
VTBR;D;151008;000000;35275;36425;34825;36335;12454
VTBR;D;151009;000000;36320;38380;35930;38165;12348
VTBR;D;151010;000000;38125;38785;37320;38450;14161
VTBR;D;151013;000000;38530;40135;38405;39550;14880
VTBR;D;151014;000000;39565;39740;38685;38920;9195
VTBR;D;151015;000000;39060;39480;38765;39200;6445
VTBR;D;151016;000000;39335;40220;39285;40125;8053
VTBR;D;151017;000000;40015;40015;38135;38410;7876
